no,Mass,BL,FWL,FWW,chirp,freq,campus
1,0.31,21.394,12.363,5.154,3,3959,MB
1,0.31,21.394,12.363,5.154,2,4179,MB
1,0.31,21.394,12.363,5.154,2,3950,MB
1,0.31,21.394,12.363,5.154,3,4173,MB
1,0.31,21.394,12.363,5.154,3,4151,MB
3,0.26,18.59,10.61,4.92,1.4,4601,MB
3,0.26,18.59,10.61,4.92,1,4268,MB
3,0.26,18.59,10.61,4.92,2,4711,MB
3,0.26,18.59,10.61,4.92,2.2,4501,MB
2,0.46,23.32,13.2,3.26,3,4762,MB
2,0.46,23.32,13.2,3.26,2,4259,MB
2,0.46,23.32,13.2,3.26,3,5182,MB
4,0.45,21.1,12.3,4.78,1,4159,MB
4,0.45,21.1,12.3,4.78,1,4494,MB
4,0.45,21.1,12.3,4.78,1,4241,MB
4,0.45,21.1,12.3,4.78,1,4966,MB
5,0.37,20.94,7.33,3.21,1.4,6573,MB
6,0.32,19.1,10.7,4.55,2.6,4839,SD
6,0.32,19.1,10.7,4.55,1.8,4207,SD
6,0.32,19.1,10.7,4.55,2.8,5413,SD
7,0.3,21.28,9.85,5.29,1.5,5232,SD
7,0.3,21.28,9.85,5.29,2,4808,SD
7,0.3,21.28,9.85,5.29,1.5,4730,SD
7,0.3,21.28,9.85,5.29,1,4884,SD
7,0.3,21.28,9.85,5.29,1.5,4473,SD
8,0.3474,20.205,11.319,3.952,1,4592,SD
8,0.3474,20.205,11.319,3.952,1,4562,SD
8,0.3474,20.205,11.319,3.952,1.1,4573,SD
8,0.3474,20.205,11.319,3.952,1.4,4544,SD
9,0.35,20.892,10.967,5.89,2.2,5059,SD
9,0.35,20.892,10.967,5.89,2.2,4148,SD
9,0.35,20.892,10.967,5.89,2.2,4157,SD
9,0.35,20.892,10.967,5.89,2.2,4329,SD
10,0.24,19.86,11.8,2.59,1.4,4931,SD
10,0.24,19.86,11.8,2.59,1.8,4926,SD
10,0.24,19.86,11.8,2.59,1.4,4840,SD
10,0.24,19.86,11.8,2.59,2.2,4857,SD
11,0.375,19.583,13.336,4.64,3.1,4210,SD
11,0.375,19.583,13.336,4.64,3.1,4166,SD
11,0.375,19.583,13.336,4.64,3.1,4464,SD
11,0.375,19.583,13.336,4.64,3.1,4925,SD
12,0.259,18.432,9.682,4.899,2.1,5327,SD
12,0.259,18.432,9.682,4.899,2.1,5447,SD
12,0.259,18.432,9.682,4.899,2.1,5475,SD
12,0.259,18.432,9.682,4.899,2.1,5516,SD
13,0.345,18.203,12.725,5.241,2,4857,SD
14,0.321,16.381,10.642,5.13,1.2,5108,SD
14,0.321,16.381,10.642,5.13,3.2,4841,SD
14,0.321,16.381,10.642,5.13,2.6,4843,SD
15,0.313,16.526,12.151,4.662,2.4,5884,SD
15,0.313,16.526,12.151,4.662,1.4,4995,SD
16,0.34,19.472,10.913,5.533,1.4,5214,SD
16,0.34,19.472,10.913,5.533,1.6,4849,SD
16,0.34,19.472,10.913,5.533,1.6,4592,SD
16,0.34,19.472,10.913,5.533,1.4,4509,SD
17,0.3633,19.678,11.13,5.099,1.4,5253,SD
17,0.3633,19.678,11.13,5.099,0.6,5490,SD
17,0.3633,19.678,11.13,5.099,0.6,5491,SD
17,0.3633,19.678,11.13,5.099,0.8,5589,SD
18,0.257,18.32,11.252,5.69,0.6,5658,SD
18,0.257,18.32,11.252,5.69,0.6,5629,SD
18,0.257,18.32,11.252,5.69,0.6,5668,SD
19,0.317,21.245,10.718,5.61,1,5357,SD
19,0.317,21.245,10.718,5.61,1,5452,SD
19,0.317,21.245,10.718,5.61,1.2,4675,SD
19,0.317,21.245,10.718,5.61,0.6,4795,SD
20,0.46,19.8,10.05,5.49,0.51,4213,FC
20,0.46,19.8,10.05,5.49,0.45,4228,FC
20,0.46,19.8,10.05,5.49,0.5,4235,FC
